start_date,end_date,category,start,stop,miles,purpose
2016-01-01 21:11,2016-01-01 21:17,Business,Fort Pierce,Fort Pierce,5.1,Meal/Entertain
2016-01-02 1:25,2016-01-02 1:37,Business,Fort Pierce,Fort Pierce,5,
2016-01-02 20:25,2016-01-02 20:38,Business,Fort Pierce,Fort Pierce,4.8,Errand/Supplies
2016-01-05 17:31,2016-01-05 17:45,Business,Fort Pierce,Fort Pierce,4.7,Meeting
2016-01-06 14:42,2016-01-06 15:49,Business,Fort Pierce,West Palm Beach,63.7,Customer Visit
2016-01-06 17:15,2016-01-06 17:19,Business,West Palm Beach,West Palm Beach,4.3,Meal/Entertain
2016-01-06 17:30,2016-01-06 17:35,Business,West Palm Beach,Palm Beach,7.1,Meeting
2016-01-07 13:27,2016-01-07 13:33,Business,Cary,Cary,0.8,Meeting
2016-01-10 8:05,2016-01-10 8:25,Business,Cary,Morrisville,8.3,Meeting
2016-01-10 12:17,2016-01-10 12:44,Business,Jamaica,New York,16.5,Customer Visit
2016-01-10 15:08,2016-01-10 15:51,Business,New York,Queens,10.8,Meeting
2016-01-10 18:18,2016-01-10 18:53,Business,Elmhurst,New York,7.5,Meeting
2016-01-10 19:12,2016-01-10 19:32,Business,Midtown,East Harlem,6.2,Meeting
2016-01-11 8:55,2016-01-11 9:21,Business,East Harlem,NoMad,6.4,Temporary Site
2016-01-11 11:56,2016-01-11 12:03,Business,Flatiron District,Midtown,1.6,Errand/Supplies
2016-01-11 13:32,2016-01-11 13:46,Business,Midtown,Midtown East,1.7,Meal/Entertain
2016-01-11 14:30,2016-01-11 14:43,Business,Midtown East,Midtown,1.9,Meal/Entertain
2016-01-12 12:33,2016-01-12 12:49,Business,Midtown,Hudson Square,1.9,Meal/Entertain
2016-01-12 12:53,2016-01-12 13:09,Business,Hudson Square,Lower Manhattan,4,Meal/Entertain
2016-01-12 14:42,2016-01-12 14:56,Business,Lower Manhattan,Hudson Square,1.8,Errand/Supplies
2016-01-12 15:13,2016-01-12 15:28,Business,Hudson Square,Hell's Kitchen,2.4,Customer Visit
2016-01-12 15:42,2016-01-12 15:54,Business,Hell's Kitchen,Midtown,2,Errand/Supplies
2016-01-12 16:02,2016-01-12 17:00,Business,New York,Queens County,15.1,Meeting
2016-01-13 13:54,2016-01-13 14:07,Business,Downtown,Gulfton,11.2,Meeting
2016-01-13 15:00,2016-01-13 15:28,Business,Gulfton,Downtown,11.8,Meeting
2016-01-14 16:29,2016-01-14 17:05,Business,Houston,Houston,21.9,Customer Visit
2016-01-14 21:39,2016-01-14 21:45,Business,Eagan Park,Jamestown Court,3.9,Errand/Supplies
2016-01-15 0:41,2016-01-15 1:01,Business,Morrisville,Cary,8,Errand/Supplies
2016-01-15 11:43,2016-01-15 12:03,Business,Cary,Durham,10.4,Meal/Entertain
2016-01-15 13:26,2016-01-15 13:44,Business,Durham,Cary,10.4,Meal/Entertain
2016-01-18 14:55,2016-01-18 15:06,Business,Cary,Cary,4.8,Meal/Entertain
2016-01-18 16:13,2016-01-18 16:24,Business,Farmington Woods,Whitebridge,4.7,Meal/Entertain
2016-01-19 9:09,2016-01-19 9:23,Business,Whitebridge,Lake Wellingborough,7.2,
2016-01-19 10:55,2016-01-19 11:09,Business,Lake Wellingborough,Whitebridge,7.6,Temporary Site
2016-01-20 10:36,2016-01-20 11:11,Business,Cary,Raleigh,17.1,Meeting
2016-01-20 11:48,2016-01-20 12:19,Business,Fayetteville Street,Umstead,15.1,Meeting
2016-01-20 13:25,2016-01-20 14:19,Business,Raleigh,Cary,40.2,Customer Visit
2016-01-21 14:25,2016-01-21 14:29,Business,Cary,Cary,1.6,Errand/Supplies
2016-01-21 14:43,2016-01-21 14:51,Business,Cary,Cary,2.4,Meal/Entertain
2016-01-21 16:01,2016-01-21 16:06,Business,Cary,Cary,1,Meal/Entertain
2016-01-26 10:41,2016-01-26 10:50,Business,Whitebridge,Hazelwood,2,Meal/Entertain
2016-01-26 12:33,2016-01-26 12:41,Business,Hazelwood,Whitebridge,2.3,Errand/Supplies
2016-01-26 16:24,2016-01-26 16:32,Business,Whitebridge,Westpark Place,1.9,Errand/Supplies
2016-01-26 17:17,2016-01-26 17:22,Business,Cary,Cary,1.4,Errand/Supplies
2016-01-26 17:27,2016-01-26 17:29,Business,Cary,Cary,0.5,Errand/Supplies
2016-01-27 9:24,2016-01-27 9:31,Business,Cary,Cary,1.8,Meeting
2016-01-27 10:19,2016-01-27 10:48,Business,Cary,Raleigh,18.7,Customer Visit
2016-01-27 12:34,2016-01-27 12:44,Business,Fairmont,Meredith Townes,3.4,Customer Visit
2016-01-27 14:05,2016-01-27 14:13,Business,Raleigh,Raleigh,2.7,Customer Visit
2016-01-27 14:46,2016-01-27 15:08,Business,Raleigh,Cary,12.9,Customer Visit
2016-01-28 12:28,2016-01-28 13:00,Business,Cary,Raleigh,19,Temporary Site
2016-01-28 15:11,2016-01-28 15:31,Business,Meredith Townes,Leesville Hollow,14.7,Meeting
2016-01-28 16:21,2016-01-28 16:51,Business,Raleigh,Cary,15.7,Meeting
2016-01-29 9:31,2016-01-29 9:45,Business,Cary,Cary,4.6,Customer Visit
2016-01-29 10:56,2016-01-29 11:07,Business,Cary,Cary,5.2,Meeting
2016-01-29 11:43,2016-01-29 12:03,Business,Cary,Durham,10.4,Meeting
2016-01-29 13:24,2016-01-29 13:47,Business,Durham,Cary,10.1,Meeting
2016-01-29 21:21,2016-01-29 21:40,Business,Apex,Cary,5.5,Meal/Entertain
2016-01-30 18:09,2016-01-30 18:24,Business,Apex,Cary,5.7,Customer Visit
2016-02-01 10:35,2016-02-01 11:15,Business,Cary,Chapel Hill,19.4,Customer Visit
2016-02-01 12:10,2016-02-01 12:43,Business,Chapel Hill,Cary,23.3,Customer Visit
2016-02-01 12:56,2016-02-01 13:07,Business,Northwoods,Whitebridge,3.9,Meal/Entertain
2016-02-02 13:04,2016-02-02 13:23,Business,Whitebridge,Williamsburg Manor,8.3,Meeting
2016-02-04 9:37,2016-02-04 10:09,Business,Morrisville,Cary,9.7,Meal/Entertain
2016-02-04 10:26,2016-02-04 10:32,Business,Cary,Cary,1.6,Meal/Entertain
2016-02-04 15:59,2016-02-04 16:03,Business,Cary,Cary,1.1,Meal/Entertain
2016-02-04 16:35,2016-02-04 16:39,Business,Cary,Cary,1.6,Meal/Entertain
2016-02-04 18:04,2016-02-04 18:31,Business,Whitebridge,Macgregor Downs,9,Meeting
2016-02-04 20:36,2016-02-04 20:55,Business,Cary,Cary,7.7,Meeting
2016-02-05 11:47,2016-02-05 12:07,Business,Cary,Durham,10.4,Meeting
2016-02-05 13:22,2016-02-05 13:41,Business,Durham,Cary,10.4,Meeting
2016-02-06 16:20,2016-02-06 16:53,Business,Cary,Raleigh,11.4,Between Offices
2016-02-07 18:03,2016-02-07 18:17,Business,Apex,Cary,5.7,Customer Visit
2016-02-07 18:39,2016-02-07 18:53,Business,Cary,Morrisville,6.1,Temporary Site
2016-02-07 20:22,2016-02-07 20:40,Business,Morrisville,Cary,6.1,Meeting
2016-02-09 10:54,2016-02-09 11:07,Personal,Whitebridge,Northwoods,5.3,
2016-02-09 11:43,2016-02-09 11:50,Personal,Northwoods,Tanglewood,3,
2016-02-09 13:36,2016-02-09 13:52,Personal,Tanglewood,Preston,5.1,
2016-02-11 18:24,2016-02-11 18:46,Business,Raleigh,Morrisville,13.5,Temporary Site
2016-02-11 20:36,2016-02-11 20:51,Business,Morrisville,Cary,6.1,Temporary Site
2016-02-12 13:02,2016-02-12 13:36,Business,Raleigh,Cary,18,Meeting
2016-02-12 14:49,2016-02-12 15:06,Business,Cary,Morrisville,8.4,Meeting
2016-02-13 14:21,2016-02-13 14:41,Business,Cary,Morrisville,8.9,Meeting
2016-02-14 14:07,2016-02-14 14:40,Business,East Elmhurst,New York,8.1,Meeting
2016-02-14 14:46,2016-02-14 15:03,Business,Midtown,Midtown West,2,Meeting
2016-02-14 16:35,2016-02-14 17:02,Business,New York,Long Island City,13,Meeting
2016-03-07 15:19,2016-03-07 15:45,Business,Raleigh,Cary,11.9,Between Offices
2016-03-08 14:38,2016-03-08 14:55,Business,Whitebridge,Waverly Place,7.2,Between Offices
2016-04-24 21:41,2016-04-24 21:50,Business,Morrisville,Cary,4.2,Between Offices
2016-04-27 13:30,2016-04-27 13:40,Business,Whitebridge,Burtrose,4.9,Between Offices
2016-04-27 14:13,2016-04-27 14:25,Business,Burtrose,Whitebridge,4.8,Between Offices
2016-05-01 17:33,2016-05-01 17:45,Business,Whitebridge,Tanglewood,6.2,Between Offices
2016-05-09 14:39,2016-05-09 15:06,Business,San Francisco,Palo Alto,20.5,Between Offices
2016-06-03 22:47,2016-06-03 23:06,Business,Morrisville,Cary,4,Between Offices
2016-07-17 11:23,2016-07-17 11:50,Personal,Banner Elk,Boone,15.1,Charity ($)
2016-07-17 12:20,2016-07-17 15:25,Personal,Boone,Cary,180.2,Commute
2016-08-21 10:00,2016-08-21 10:29,Business,Unknown Location,Unknown Location,7.6,Airport/Travel
2016-12-17 15:38,2016-12-17 16:12,Business,Unknown Location,Unknown Location,4.8,Airport/Travel
2016-12-29 13:56,2016-12-29 14:11,Business,Kar?chi,Kar?chi,4.1,Airport/Travel
