,년,월,시간,주야,요일,시도,시군구,사고유형_대분류,면허경과년수,가해자법규위반,성별,연령,사망여부,가해자음주농도,보호장구,안전모_착용여부,도로종류,도로형태_대분류,도로형태,도로선형_대분류,도로선형_중분류,도로선형,교차로형태_대분류,교차로형태,노면상태_대분류,노면상태,기상상태,어린이보호구역여부,시도군구,exists,long,lat
59,2012,1,13,주,화,전라북도,고창군,차대차,미상,안전운전 의무 불이행,남,77,1,0,안전모,착용,지방도,단일로,기타단일로,직선,직선,평지,교차로아님,교차로아님,포장,젖음/습기,눈,N,전라북도고창군,1,126.704108333333,35.4327388888888
144,2012,1,9,주,금,경기도,여주시,차량단독,미상,안전운전 의무 불이행,남,84,1,0,안전모,,일반국도,교차로,교차로부근,직선,직선,평지,교차로,교차로 - 사지,포장,건조,맑음,N,경기도여주시,1,127.639622222222,37.2953583333333
224,2012,1,18,야,일,전라북도,장수군,차대차,미상,중앙선 침범,남,62,1,0.25%~0.29%,안전모,착용,일반국도,,,직선,직선,오르막,교차로아님,교차로아님,포장,건조,맑음,N,전라북도장수군,1,127.5233,35.6442972222222
280,2012,1,14,주,화,경상북도,예천군,차대차,15~,안전운전 의무 불이행,남,76,1,0,안전모,착용,군도,교차로,교차로내,커브ㆍ곡각 ,우,평지  ,교차로,교차로 - 사지,포장,건조,맑음,N,경상북도예천군,1,128.455022222222,36.65495
318,2012,1,23,야,수,부산시,연제구,철길건널목,5~9,,남,35,1,0.20%~0.24%,,,특별광역시도,철길건널목,철길건널목,직선,직선,평지,교차로아님,교차로아님,포장,건조,맑음,N,부산시연제구,1,129.082075,35.1731861111111
366,2012,1,16,주,화,서울시,강서구,차량단독,10~14,안전운전 의무 불이행,남,52,1,0,안전모,착용,특별광역시도,단일로,기타단일로,직선,직선,평지,교차로아님,교차로아님,포장,건조,맑음,N,서울시강서구,1,126.851675,37.5481555555555
628,2012,1,13,주,금,충청남도,부여군,차대차,10~14,교차로 통행방법 위반,남,73,1,0,안전모,착용,이면도로,교차로,교차로내,직선,직선,평지,교차로,교차로 - 삼지,포장,젖음/습기,비,N,충청남도부여군,1,126.911863888888,36.2728222222222
669,2012,1,17,주,토,충청남도,태안군,차량단독,15~,안전운전 의무 불이행,남,83,1,0.05%~0.09%,안전모,미착용,군도,,,직선,직선,내리막,교차로아님,교차로아님,포장,젖음/습기,맑음,N,충청남도태안군,1,126.299975,36.7426666666666
733,2012,1,19,야,수,인천시,중구,차대차,1~4,안전운전 의무 불이행,남,53,1,0,안전모,착용,특별광역시도,교차로,교차로내,직선,직선,평지,교차로,교차로 - 사지,포장,젖음/습기,맑음,N,인천시중구,1,126.621761699973,37.4738484305043
752,2012,1,14,주,목,서울시,용산구,차량단독,15~,안전운전 의무 불이행,남,55,1,0,안전모,착용,특별광역시도,단일로,기타단일로,직선,직선,평지,교차로아님,교차로아님,포장,젖음/습기,맑음,N,서울시용산구,1,126.967522222222,37.5360944444444
917,2012,2,11,주,수,울산시,북구,차량단독,미상,안전운전 의무 불이행,남,29,1,0.20%~0.24%,안전모,착용,특별광역시도,단일로,기타단일로,직선,직선,평지,교차로아님,교차로아님,포장,건조,맑음,N,울산시북구,1,129.361244971292,35.5827078312412
920,2012,2,17,주,수,부산시,강서구,차대차,5~9,안전운전 의무 불이행,남,53,1,0,안전모,착용,특별광역시도,단일로,횡단보도상,직선,직선,평지,교차로아님,교차로아님,포장,건조,흐림,N,부산시강서구,1,128.982908333333,35.2091638888888
1052,2012,2,20,야,월,서울시,도봉구,차대차,1~4,안전운전 의무 불이행,남,23,1,0,안전모,착용,특별광역시도,단일로,기타단일로,직선,직선,내리막,교차로아님,교차로아님,포장,건조,맑음,N,서울시도봉구,1,127.049522222222,37.6658333333333
1060,2012,2,1,야,화,강원도,원주시,차량단독,15~,안전운전 의무 불이행,남,32,1,0,안전모,,시도,단일로,기타단일로,직선,직선,평지,교차로아님,교차로아님,포장,젖음/습기,맑음,N,강원도원주시,1,127.922055555555,37.3390833333333
1097,2012,2,15,주,수,경상북도,경주시,차량단독,1~4,안전운전 의무 불이행,남,21,1,0,안전모,착용,시도,단일로,기타단일로,커브ㆍ곡각 ,좌,평지  ,교차로아님,교차로아님,포장,건조,맑음,N,경상북도경주시,1,129.227022222222,35.8531694444444
1256,2012,2,11,주,월,서울시,광진구,차대차,15~,안전운전 의무 불이행,남,64,1,0,안전모,착용,특별광역시도,교차로,교차로내,직선,직선,평지,교차로,교차로 - 사지,포장,건조,맑음,N,서울시광진구,1,127.084533333333,37.5357388888888
1332,2012,2,12,주,수,충청남도,서천군,차대차,15~,중앙선 침범,남,67,1,0,안전모,미착용,지방도,단일로,기타단일로,직선,직선,평지,교차로아님,교차로아님,포장,건조,맑음,N,충청남도서천군,1,126.693888888888,36.0774055555555
1391,2012,2,12,주,금,전라남도,진도군,차량단독,미상,안전운전 의무 불이행,남,63,1,0,,,군도,단일로,기타단일로,커브ㆍ곡각 ,좌,평지  ,교차로아님,교차로아님,포장,건조,흐림,N,전라남도진도군,1,126.265544444444,34.48375
1488,2012,2,12,주,월,충청남도,논산시,차대차,미상,교차로 통행방법 위반,남,64,1,0,안전모,,시도,교차로,교차로내,직선,직선,평지,교차로,교차로 - 삼지,포장,건조,맑음,N,충청남도논산시,1,127.100911111111,36.1842027777777
1519,2012,2,13,주,화,전라남도,영암군,차대차,미상,안전운전 의무 불이행,남,25,1,0,안전모,착용,군도,교차로,교차로부근,직선,직선,평지,교차로,교차로 - 삼지,포장,건조,흐림,N,전라남도영암군,1,126.698619444444,34.7969888888888
1552,2012,2,8,주,수,전라북도,정읍시,차대차,15~,,남,73,1,0,안전모,착용,지방도,교차로,교차로내,직선,직선,내리막,교차로,교차로 - 삼지,포장,건조,맑음,N,전라북도정읍시,1,126.858111111111,35.5668722222222
1606,2012,2,8,주,금,전라북도,정읍시,차량단독,10~14,안전운전 의무 불이행,남,73,1,0,안전모,착용,일반국도,교차로,교차로내,직선,직선,평지,교차로,교차로 - 사지,포장,건조,맑음,N,전라북도정읍시,1,126.858111111111,35.5668722222222
1675,2012,2,15,주,일,경상북도,영천시,차대차,미상,중앙선 침범,남,17,1,0,,,지방도,단일로,기타단일로,커브ㆍ곡각 ,우,평지  ,교차로아님,교차로아님,포장,건조,맑음,N,경상북도영천시,1,128.940775,35.9700527777777
1702,2012,2,18,야,월,경기도,안양시,차량단독,미상,안전운전 의무 불이행,남,69,1,0,안전모,미착용,시도,단일로,기타단일로,직선,직선,내리막,교차로아님,교차로아님,포장,건조,맑음,N,경기도안양시,1,126.953355555555,37.3897
